order_id,distance_km,delivery_time_min,traffic_level,route_length_km,delivery_mode,weather,order_time,restaurant_zone,customer_zone
1,7.97,63.8,High,9.75,Bicycle,Clear,2025-01-01 15:29,South,North
2,0.9,7.6,High,1.28,Car,Cloudy,2025-01-03 00:47,West,North
3,11.12,78.0,Medium,16.65,Bike,Rainy,2025-01-04 17:32,South,Central
4,4.9,24.8,Low,5.25,Scooter,Rainy,2025-01-01 14:12,Central,Central
5,10.04,56.0,High,11.34,Car,Rainy,2025-01-02 16:50,West,North
6,10.96,76.8,High,13.62,Car,Windy,2025-01-02 09:56,West,North
7,9.6,54.4,Low,13.32,Bike,Windy,2025-01-03 00:29,Central,North
8,6.24,52.9,Low,8.41,Bike,Cloudy,2025-01-02 21:36,South,Central
9,9.98,81.4,Medium,14.87,Bicycle,Rainy,2025-01-01 08:19,Central,West
10,2.48,17.1,High,3.38,Car,Windy,2025-01-01 09:28,South,North
11,7.23,47.7,Medium,7.63,Bike,Rainy,2025-01-03 15:24,West,Central
12,6.65,27.8,High,6.69,Bike,Rainy,2025-01-03 06:47,Central,West
13,11.42,83.4,Medium,13.97,Car,Rainy,2025-01-03 05:24,Central,South
14,1.26,9.9,Low,1.55,Bicycle,Windy,2025-01-03 18:37,South,North
15,9.88,56.6,Medium,12.45,Bike,Cloudy,2025-01-03 04:12,North,Central
16,4.69,23.2,Low,4.86,Scooter,Clear,2025-01-04 04:16,North,North
17,7.27,34.9,High,8.66,Scooter,Cloudy,2025-01-03 14:38,Central,West
18,10.19,60.2,High,10.24,Car,Windy,2025-01-03 02:11,North,South
19,2.11,9.2,Medium,2.23,Scooter,Rainy,2025-01-02 17:10,Central,North
20,3.12,18.0,High,3.41,Bicycle,Windy,2025-01-04 08:23,South,Central
21,8.22,50.4,Low,10.42,Bike,Windy,2025-01-01 08:26,East,South
22,8.13,46.0,High,9.43,Car,Windy,2025-01-03 11:13,Central,Central
23,0.54,2.4,Medium,0.58,Scooter,Rainy,2025-01-02 09:43,South,East
24,5.15,33.7,Medium,7.3,Bicycle,Windy,2025-01-04 18:58,South,West
25,0.53,2.9,Low,0.62,Bike,Cloudy,2025-01-04 04:12,West,Central
26,4.23,26.1,Medium,4.97,Car,Windy,2025-01-02 15:05,West,Central
27,8.53,44.4,High,9.26,Bicycle,Cloudy,2025-01-02 08:16,Central,East
28,3.65,21.2,Low,5.2,Bicycle,Windy,2025-01-01 18:14,South,West
29,5.59,38.0,Medium,7.34,Bike,Clear,2025-01-04 00:07,South,Central
30,2.65,19.3,Medium,2.97,Car,Rainy,2025-01-04 08:38,West,East
31,6.37,28.9,High,7.17,Bike,Rainy,2025-01-04 01:52,South,East
32,3.14,18.8,High,4.33,Scooter,Clear,2025-01-01 08:05,West,South
33,7.31,36.3,Medium,7.88,Bike,Windy,2025-01-03 05:17,Central,North
34,11.99,58.2,Medium,13.31,Bicycle,Cloudy,2025-01-02 17:40,West,South
35,2.65,19.5,Low,2.96,Car,Clear,2025-01-04 07:37,North,Central
36,3.25,21.3,High,3.81,Bike,Cloudy,2025-01-02 04:12,North,North
37,2.97,23.1,High,3.43,Scooter,Clear,2025-01-03 12:47,West,Central
38,4.47,25.8,High,5.16,Bike,Cloudy,2025-01-02 02:07,North,East
39,3.24,26.0,Low,4.16,Bike,Clear,2025-01-03 15:47,West,Central
40,6.75,49.5,Low,7.19,Scooter,Rainy,2025-01-03 03:42,Central,South
41,9.72,44.8,Medium,10.21,Bicycle,Cloudy,2025-01-04 08:55,South,Central
42,7.62,59.5,Medium,10.27,Scooter,Cloudy,2025-01-04 10:59,West,North
43,2.16,10.0,High,2.26,Scooter,Rainy,2025-01-04 12:47,East,East
44,10.77,87.3,High,13.53,Car,Windy,2025-01-04 09:38,West,East
45,5.26,39.3,Medium,6.47,Bike,Windy,2025-01-02 04:57,North,West
46,4.24,30.0,High,4.33,Car,Rainy,2025-01-03 03:35,South,North
47,9.56,60.9,Low,12.64,Scooter,Rainy,2025-01-03 10:49,Central,Central
48,2.44,15.1,High,2.92,Bicycle,Windy,2025-01-03 15:05,South,Central
49,4.4,23.9,High,4.82,Scooter,Cloudy,2025-01-02 03:19,Central,Central
50,3.21,20.1,Low,4.57,Bike,Rainy,2025-01-02 20:04,East,East
51,10.24,65.1,High,12.4,Bike,Clear,2025-01-03 07:10,East,North
52,2.63,19.7,Low,2.98,Scooter,Cloudy,2025-01-03 11:05,Central,South
53,11.55,78.1,Low,14.7,Bike,Rainy,2025-01-02 08:12,East,East
54,1.36,11.7,Low,1.82,Bike,Rainy,2025-01-04 17:09,North,West
55,1.74,12.5,Low,2.59,Scooter,Rainy,2025-01-04 15:37,Central,South
56,1.12,7.3,Low,1.44,Car,Rainy,2025-01-02 18:14,North,West
57,8.89,61.8,Medium,8.98,Bike,Windy,2025-01-04 03:49,Central,South
58,9.08,58.1,High,13.32,Car,Cloudy,2025-01-02 09:49,Central,South
59,11.61,71.6,Low,12.17,Scooter,Cloudy,2025-01-01 14:54,West,Central
60,1.62,8.3,Medium,2.06,Bike,Windy,2025-01-02 16:20,West,North
61,10.63,68.9,Low,13.85,Bicycle,Cloudy,2025-01-01 16:17,Central,Central
62,10.54,80.0,High,12.64,Bicycle,Windy,2025-01-03 06:48,North,South
63,9.33,74.8,Medium,11.26,Scooter,Clear,2025-01-02 22:25,East,East
64,5.41,28.6,Low,5.43,Bicycle,Rainy,2025-01-02 06:31,North,North
65,10.78,97.1,Low,14.1,Car,Windy,2025-01-03 16:54,West,North
66,9.05,76.9,Medium,11.45,Bicycle,Cloudy,2025-01-03 01:43,East,East
67,9.92,68.5,Medium,10.13,Scooter,Cloudy,2025-01-03 02:54,Central,East
68,8.04,49.1,Medium,11.13,Scooter,Windy,2025-01-04 08:14,East,East
69,6.4,43.2,Medium,9.0,Bicycle,Cloudy,2025-01-03 02:52,Central,North
70,2.59,20.3,Medium,3.16,Bike,Windy,2025-01-04 17:53,West,East
71,2.63,14.6,Medium,3.35,Bicycle,Rainy,2025-01-03 10:29,West,North
72,6.83,37.6,High,8.36,Bicycle,Clear,2025-01-02 10:07,West,Central
73,10.12,64.1,Low,11.5,Scooter,Clear,2025-01-03 20:37,West,West
74,5.77,44.5,Medium,7.86,Scooter,Rainy,2025-01-02 05:27,West,North
75,4.16,25.5,Low,5.39,Car,Cloudy,2025-01-03 04:01,West,West
76,4.34,24.1,High,4.4,Scooter,Cloudy,2025-01-03 01:50,North,West
77,6.77,41.8,High,9.32,Bicycle,Cloudy,2025-01-03 01:49,West,North
78,3.11,15.9,Medium,3.4,Car,Clear,2025-01-02 12:40,Central,East
79,1.77,7.9,Medium,1.89,Scooter,Cloudy,2025-01-02 00:49,Central,North
80,4.12,24.0,Medium,4.88,Bicycle,Cloudy,2025-01-03 04:36,East,West
81,11.77,82.4,High,12.55,Car,Cloudy,2025-01-02 22:55,Central,East
82,4.13,28.6,Low,4.42,Scooter,Clear,2025-01-01 08:44,Central,West
83,8.35,62.2,Medium,12.42,Bicycle,Windy,2025-01-04 05:30,South,South
84,4.68,19.9,Medium,4.87,Car,Clear,2025-01-02 08:08,West,West
85,4.24,29.5,Low,4.48,Car,Clear,2025-01-02 02:04,Central,West
86,2.15,12.7,High,2.78,Bicycle,Rainy,2025-01-02 07:04,Central,East
87,0.71,5.2,High,0.88,Scooter,Rainy,2025-01-03 15:10,South,Central
88,0.61,3.0,Medium,0.74,Bike,Clear,2025-01-01 20:37,Central,West
89,10.32,63.9,High,10.44,Car,Cloudy,2025-01-04 18:19,East,North
90,5.08,35.7,Low,5.73,Bike,Windy,2025-01-03 02:52,South,West
91,4.44,40.8,Low,6.12,Bike,Cloudy,2025-01-02 16:09,Central,Central
92,5.33,47.4,Low,7.54,Bicycle,Rainy,2025-01-01 17:46,South,West
93,10.07,56.8,Low,12.82,Scooter,Windy,2025-01-02 02:19,South,South
94,9.58,73.5,Low,13.07,Bike,Cloudy,2025-01-04 11:56,South,North
95,8.08,51.1,Low,10.96,Bike,Rainy,2025-01-02 20:47,West,East
96,6.66,36.5,Low,8.48,Scooter,Clear,2025-01-03 11:22,Central,North
97,1.47,9.8,Medium,1.88,Scooter,Windy,2025-01-04 04:03,North,West
98,4.41,24.8,Low,4.8,Scooter,Windy,2025-01-02 17:20,North,North
99,4.02,21.7,Medium,5.17,Bicycle,Clear,2025-01-03 04:27,South,South
100,10.04,90.7,Low,14.91,Scooter,Windy,2025-01-02 11:59,North,East
101,8.25,52.0,Medium,9.0,Scooter,Windy,2025-01-01 23:22,Central,South
102,3.22,19.9,High,3.28,Bicycle,Rainy,2025-01-04 14:56,West,East
103,9.17,60.4,Low,10.91,Bicycle,Cloudy,2025-01-04 12:47,North,South
104,6.86,53.9,Low,8.74,Car,Rainy,2025-01-01 22:34,North,Central
105,2.62,13.0,Medium,3.22,Car,Clear,2025-01-04 00:53,South,East
106,10.96,72.9,Low,16.27,Bike,Rainy,2025-01-02 23:01,Central,West
107,10.32,81.1,High,13.54,Bicycle,Clear,2025-01-04 00:06,North,Central
108,12.0,73.6,High,16.48,Bicycle,Windy,2025-01-03 23:57,East,West
109,10.16,57.7,High,14.07,Car,Cloudy,2025-01-02 03:11,South,North
110,7.29,57.9,High,10.86,Car,Rainy,2025-01-01 11:35,Central,North
111,7.97,51.0,Low,10.73,Bicycle,Rainy,2025-01-03 12:38,East,Central
112,10.53,83.6,Medium,15.46,Scooter,Clear,2025-01-01 08:47,Central,East
113,1.51,7.9,High,1.6,Car,Windy,2025-01-02 15:45,East,East
114,10.56,68.0,Medium,11.2,Bicycle,Rainy,2025-01-03 23:08,South,Central
115,5.35,27.2,Low,6.7,Scooter,Windy,2025-01-04 01:10,East,West
116,9.05,61.3,Medium,9.61,Scooter,Windy,2025-01-02 00:27,East,West
117,3.47,23.9,High,3.87,Bike,Windy,2025-01-02 14:38,South,West
118,6.2,56.0,Medium,8.79,Scooter,Cloudy,2025-01-02 03:26,East,North
119,9.57,55.7,Low,11.89,Scooter,Clear,2025-01-03 01:31,North,Central
120,3.78,27.8,Medium,4.42,Car,Windy,2025-01-02 16:55,South,East
121,6.32,32.1,Medium,6.78,Bicycle,Rainy,2025-01-03 12:30,East,North
122,10.72,50.3,Low,11.96,Bike,Clear,2025-01-03 12:56,South,East
123,10.55,85.7,High,13.49,Scooter,Rainy,2025-01-04 11:13,West,North
124,9.67,65.8,High,9.95,Scooter,Rainy,2025-01-04 18:00,South,East
125,4.09,33.5,Medium,5.52,Bicycle,Cloudy,2025-01-03 01:02,North,Central
126,8.4,67.2,Low,10.79,Car,Cloudy,2025-01-04 08:33,North,East
127,10.07,51.4,High,11.03,Bicycle,Windy,2025-01-03 14:11,South,West
128,1.47,11.3,Medium,1.86,Car,Clear,2025-01-04 17:37,South,West
129,11.72,70.6,Low,11.77,Scooter,Clear,2025-01-02 10:15,North,North
130,3.89,28.7,Medium,5.76,Bike,Windy,2025-01-03 16:13,Central,North
131,11.68,69.2,High,12.36,Scooter,Clear,2025-01-02 21:07,South,North
132,9.77,67.5,High,10.58,Bicycle,Cloudy,2025-01-04 16:02,North,East
133,11.09,57.8,High,12.59,Scooter,Rainy,2025-01-04 15:29,South,South
134,10.0,102.3,Low,14.72,Bicycle,Clear,2025-01-03 04:52,East,East
135,0.99,5.4,Medium,1.33,Bicycle,Clear,2025-01-04 06:21,South,South
136,8.07,57.2,High,9.34,Scooter,Rainy,2025-01-02 17:19,West,East
137,2.57,21.2,Medium,3.51,Bicycle,Windy,2025-01-01 17:38,North,East
138,10.99,63.9,Medium,13.74,Bicycle,Rainy,2025-01-01 11:24,South,East
139,6.9,47.8,Low,7.2,Bike,Windy,2025-01-02 06:16,West,North
140,10.79,76.7,Low,13.96,Bike,Cloudy,2025-01-01 10:40,Central,West
141,7.06,47.7,Medium,7.66,Bike,Cloudy,2025-01-02 21:42,South,East
142,1.41,9.8,High,1.56,Bicycle,Rainy,2025-01-01 09:02,North,West
143,6.37,39.9,High,9.21,Scooter,Windy,2025-01-04 02:16,West,North
144,7.96,57.0,High,9.67,Bicycle,Windy,2025-01-02 05:22,West,East
145,3.7,23.2,Low,4.46,Car,Clear,2025-01-04 03:26,East,North
146,5.34,44.0,Medium,6.56,Car,Cloudy,2025-01-03 01:32,East,South
147,7.31,42.9,Low,9.58,Bike,Cloudy,2025-01-04 07:39,Central,East
148,2.22,18.4,Low,3.13,Bike,Clear,2025-01-04 09:32,West,South
149,9.13,61.4,Low,12.81,Bike,Cloudy,2025-01-02 05:29,North,Central
150,10.13,83.7,Low,14.87,Bicycle,Windy,2025-01-01 10:45,North,North
151,3.22,17.7,Medium,3.79,Bicycle,Rainy,2025-01-03 22:16,South,East
152,3.45,15.4,Low,3.6,Car,Rainy,2025-01-02 12:50,West,South
153,3.56,28.9,Medium,4.47,Scooter,Rainy,2025-01-03 18:20,North,East
154,7.86,65.2,High,10.02,Bike,Windy,2025-01-02 11:40,South,South
155,4.26,27.8,Low,6.22,Bike,Windy,2025-01-03 15:08,Central,South
156,5.81,37.0,Medium,6.34,Car,Rainy,2025-01-02 12:27,Central,Central
157,11.25,99.0,Medium,14.73,Bike,Cloudy,2025-01-04 14:21,West,South
158,11.13,70.8,High,11.21,Bicycle,Clear,2025-01-03 15:59,South,Central
159,5.3,48.7,Low,7.0,Bicycle,Cloudy,2025-01-04 05:16,Central,West
160,9.16,60.7,Low,12.47,Car,Cloudy,2025-01-02 07:51,Central,South
161,10.82,108.8,Medium,15.71,Bicycle,Rainy,2025-01-03 02:20,South,West
162,1.29,9.5,Low,1.51,Car,Clear,2025-01-01 17:39,West,North
163,5.05,39.3,Medium,5.76,Bike,Rainy,2025-01-04 06:32,East,North
164,8.07,61.1,Medium,9.07,Car,Rainy,2025-01-03 13:28,South,North
165,10.41,52.0,Medium,10.83,Scooter,Windy,2025-01-02 03:05,South,South
166,2.19,14.1,Low,2.68,Bike,Rainy,2025-01-01 10:20,Central,North
167,2.87,17.2,Medium,3.72,Car,Cloudy,2025-01-02 02:39,West,South
168,8.14,52.3,High,9.53,Car,Clear,2025-01-02 15:27,Central,South
169,10.35,51.1,High,12.72,Bicycle,Clear,2025-01-03 13:14,South,Central
170,5.85,30.4,Medium,6.48,Bike,Clear,2025-01-02 07:49,South,South
171,11.41,89.0,Low,12.98,Bicycle,Cloudy,2025-01-02 03:01,Central,East
172,11.16,73.0,High,13.63,Scooter,Cloudy,2025-01-04 11:41,East,South
173,3.17,27.2,Medium,4.09,Bike,Cloudy,2025-01-04 11:45,East,Central
174,4.36,25.0,Medium,6.19,Car,Rainy,2025-01-03 13:58,East,Central
175,3.88,30.2,Medium,5.15,Bicycle,Cloudy,2025-01-03 10:09,South,North
176,2.88,15.5,High,3.66,Bike,Windy,2025-01-02 07:11,South,South
177,9.59,79.4,High,11.98,Scooter,Windy,2025-01-04 12:45,South,West
178,7.51,71.4,Low,10.76,Scooter,Clear,2025-01-03 19:39,East,North
179,11.72,74.9,High,15.17,Scooter,Rainy,2025-01-03 17:11,South,West
180,4.75,24.5,High,5.78,Car,Clear,2025-01-03 05:36,South,East
181,10.38,74.9,High,11.31,Bike,Rainy,2025-01-03 02:46,North,Central
182,8.01,56.3,High,8.56,Bicycle,Rainy,2025-01-01 20:39,East,Central
183,9.68,85.7,Low,13.19,Car,Cloudy,2025-01-02 19:03,West,South
184,7.72,44.1,High,10.3,Car,Clear,2025-01-02 02:31,West,Central
185,8.43,78.9,Low,12.07,Car,Clear,2025-01-03 17:42,West,East
186,8.82,64.5,Medium,11.24,Bicycle,Clear,2025-01-01 19:50,East,Central
187,1.18,7.1,High,1.62,Car,Cloudy,2025-01-03 21:12,West,West
188,10.68,75.1,High,14.53,Scooter,Rainy,2025-01-04 16:13,East,South
189,0.96,6.7,High,1.05,Car,Windy,2025-01-03 13:43,Central,East
190,11.73,90.6,Medium,17.29,Car,Cloudy,2025-01-03 08:21,South,South
191,11.05,77.5,Low,13.3,Bicycle,Cloudy,2025-01-04 09:50,West,East
192,7.73,53.4,High,9.03,Bicycle,Cloudy,2025-01-02 11:05,Central,East
193,8.31,56.0,High,8.64,Bike,Rainy,2025-01-02 15:59,North,West
194,11.18,73.4,High,12.35,Scooter,Windy,2025-01-04 01:18,South,East
195,1.28,6.0,High,1.46,Scooter,Windy,2025-01-01 22:29,South,East
196,9.02,38.4,Low,9.57,Bike,Cloudy,2025-01-03 09:22,Central,South
197,6.73,59.2,Low,10.04,Bike,Cloudy,2025-01-03 03:32,South,South
198,6.98,51.4,High,7.83,Scooter,Cloudy,2025-01-01 08:03,Central,West
199,3.8,29.2,Medium,5.34,Bicycle,Rainy,2025-01-04 07:34,South,North
200,6.55,40.8,Medium,7.72,Car,Windy,2025-01-04 15:12,South,North
